Time,Temperature,cop
20476800,21.936428,0.0
20563200,21.164709,0.0
20649600,20.615828,0.0
20736000,20.201951,0.0
20822400,19.874426,0.0
20908800,19.605182,0.0
20995200,19.377323,0.0
21081600,41.975495,6.019219921670422
21168000,39.540988,5.259691151347501
21254400,37.85593,5.194977871291592
21340800,35.841418,4.910086837930876
21427200,33.65179,4.522744058667366
21513600,31.479115,4.40152448796114
21600000,29.339032,4.178590183468726
21686400,27.49311,4.0234450782903926
21772800,26.481326,3.900458428993277
21859200,26.538822,3.9047054859392727
21945600,28.261057,4.095168745955625
22032000,29.688238,4.228301157961773
22118400,29.776342,4.086469871754891
22204800,30.116774,4.086813443311343
22291200,29.554385,4.187143555137145
22377600,28.037185,4.071608694462872
22464000,25.530929,3.7333503041512497
22550400,23.610001,3.5152666090452853
22636800,22.410829,3.4414828814444216
22723200,21.978524,3.544299900388005
22809600,23.738483,3.67031293733205
22896000,24.997731,3.8189204194607824
22982400,25.755016,3.831249566330514
23068800,25.962401,3.9049205448463455
23155200,26.24089,3.910595137832072
23241600,26.430276,3.9650002008635967
23328000,26.283645,3.924294251752107
23414400,26.359988,3.915875388197729
23500800,25.97974,3.92573651967777
23587200,25.464188,3.839826377920629
23673600,23.067918,3.549832917471896
23760000,21.532381,3.316493204493722
23846400,20.579896,3.264436637498653
23932800,19.915022,3.2489633516374874
24019200,19.565092,3.116410558152028
24105600,19.232625,3.129280044514636
24192000,18.734225,3.3051677987942103
24278400,18.364199,3.294161480944093
24364800,18.130151,3.228349910716275
24451200,17.809831,3.3129654828664448
24537600,19.269519,3.4721910300507286
24624000,21.933077,3.540409769857407
24710400,23.950974,3.682949331429053
24796800,24.680954,3.697931579554617
24883200,23.735565,3.66175618401238
24969600,22.845222,3.675390529557317
25056000,21.977443,3.624655838065341
25142400,20.737809,3.480892276357784
25228800,20.05732,3.4825337916800434
25315200,19.947935,3.500645391811711
25401600,19.092174,3.369346118756892
25488000,18.243405,3.280689396283196
25574400,18.284703,3.3758041088084294
25660800,18.626802,3.422232653551124
25747200,19.360852,3.428272276479492
25833600,18.352494,3.2855152851789367
25920000,17.877597,2.976024037309572
26006400,17.646143,2.9034786384599216
26092800,17.614432,2.7950922286753035
26179200,17.628317,2.741223344614038
26265600,17.435986,2.8421605028512205
26352000,16.772157,3.2335956385194087
26438400,16.429754,3.161742354071825
26524800,16.254039,3.095223357202307
26611200,16.215622,3.002548435777603
26697600,16.226638,2.9408249972057448
26784000,16.220906,2.918238091233148
26870400,16.28686,2.8443027239481053
26956800,16.343767,2.8088718596639137
27043200,16.547101,2.6839431338643704
27129600,16.639584,2.6835205067007286
27216000,16.494308,2.79570007211894
27302400,16.448571,2.7597755181467223
27388800,16.386985,2.766783713562065
27475200,16.314883,2.7751764113490487
27561600,16.259691,2.7687969350284427
27648000,16.307401,2.704529056842114
27734400,16.148906,2.807054954651884
27820800,16.084263,2.7767468848732184
27907200,16.194543,2.67081788313015
27993600,16.123776,2.738367428838874
28080000,15.984038,2.7900756575618177
28166400,15.841755,2.816940966455604
28252800,15.825018,2.7594877413499352
28339200,15.802945,2.7516095758948405
28425600,15.577143,2.877162605462808
28512000,15.31944,2.951848579310116
28598400,15.089891,2.990691122321408
28684800,15.223817,2.784621193383144
28771200,15.566804,2.6054848714739007
28857600,15.848378,2.548421412345681
28944000,15.872093,2.6211169124155487
29030400,15.778765,2.681628522056049
29116800,15.813955,2.6249271278311936
29203200,16.03665,2.507645693950508
29289600,15.886681,2.6560388524847105
29376000,15.39256,2.9152544019319406
29462400,15.049144,2.9467026924029245
29548800,14.990811,2.8295073866490394
29635200,15.223551,2.644321728173106
29721600,15.353874,2.6325132160474
29808000,15.372277,2.658202798474404
29894400,15.42444,2.628288710045055
29980800,15.222424,2.76124275312537
30067200,14.945329,2.859249352061528
30153600,14.777904,2.8515435851304614
30240000,14.503898,2.958213749701317
30326400,14.437833,2.8752092469532595
30412800,14.485947,2.7980417992760165
30499200,14.443258,2.82812836512013
30585600,15.246768,0.0
30672000,15.580506,0.0
30758400,15.758038,0.0
30844800,15.863915,0.0
30931200,15.931556,0.0
31017600,15.977227,0.0
31104000,16.009548,0.0
31190400,16.033308,0.0
31276800,16.051285,0.0
31363200,16.065157,0.0
31449600,16.075988,0.0
